,last_weight,average_weight,last_weight^2,last_weight fasting,last_weight morning_temperature,last_weight evening_temperature,last_weight morning_do,last_weight evening_do,last_weight morning_salinity,last_weight morning_pH,last_weight transparency,last_weight long_cycle,average_weight fasting,average_weight morning_temperature,average_weight evening_temperature,average_weight morning_do,average_weight evening_do,average_weight morning_salinity,average_weight morning_pH,average_weight transparency,average_weight long_cycle,average_adg
0,25.18,14.428,634.0323999999999,25.18,705.04,755.4,125.1446,142.0152,579.14,198.922,956.84,2820.16,14.428,403.98400000000004,432.84000000000003,71.70716,81.37392,331.844,113.98120000000002,548.264,1615.9360000000001,0.27
1,26.59,15.167,707.0281,26.59,744.52,797.7,132.1523,149.9676,611.57,210.061,1010.42,3217.39,15.167,424.676,455.01,75.37998999999999,85.54187999999999,348.841,119.8193,576.346,1835.2069999999999,0.267
2,16.25,10.725,264.0625,16.25,455.0,487.5,80.7625,91.64999999999999,373.75,128.375,617.5,1527.5,10.725,300.3,321.75,53.30325,60.489,246.67499999999998,84.7275,407.55,1008.15,0.281
3,15.7,11.035,246.48999999999998,15.7,439.59999999999997,471.0,78.029,88.54799999999999,361.09999999999997,124.03,596.6,1475.8,11.035,308.98,331.05,54.84395,62.237399999999994,253.805,87.1765,419.33,1037.29,0.273
4,24.76,13.033,613.0576000000001,24.76,693.2800000000001,742.8000000000001,123.0572,139.6464,569.48,195.60399999999998,940.8800000000001,2946.44,13.033,364.924,390.99,64.77400999999999,73.50612,299.759,102.96069999999997,495.25399999999996,1550.927,0.256
5,24.53,12.609,601.7209,24.53,686.84,735.9000000000001,121.9141,138.3492,564.19,193.78699999999998,932.1400000000001,2919.07,12.609,353.052,378.27,62.666729999999994,71.11475999999999,290.007,99.61109999999998,479.142,1500.471,0.263
6,23.9,12.896,571.2099999999999,23.9,669.1999999999999,717.0,118.78299999999999,134.796,549.6999999999999,188.81,908.1999999999999,2748.5,12.896,361.088,386.88,64.09312,72.73344,296.608,101.87840000000001,490.048,1483.0400000000002,0.25
7,21.54,11.931,463.97159999999997,21.54,603.12,646.1999999999999,107.0538,121.48559999999999,495.41999999999996,170.16600000000003,818.52,2326.3199999999997,11.931,334.068,357.92999999999995,59.29706999999999,67.29083999999999,274.41299999999995,94.2549,453.378,1288.548,0.23
8,21.47,12.47,460.9608999999999,21.47,601.16,644.0999999999999,106.70589999999999,121.09079999999999,493.80999999999995,169.61299999999997,815.8599999999999,2554.93,12.47,349.16,374.1,61.9759,70.3308,286.81,98.51299999999999,473.86,1483.93,0.219
9,6.8,6.8,46.239999999999995,6.8,190.4,204.0,33.796,38.352,156.4,53.720000000000006,258.4,353.59999999999997,6.8,190.4,204.0,33.796,38.352,156.4,53.720000000000006,258.4,353.59999999999997,0.26
10,5.0,5.0,25.0,5.0,140.0,150.0,24.849999999999998,28.2,115.0,39.5,190.0,295.0,5.0,140.0,150.0,24.849999999999998,28.2,115.0,39.5,190.0,295.0,0.15
11,30.68,19.254,941.2624,30.68,859.04,920.4,152.4796,173.03519999999997,705.64,242.37199999999996,1165.84,3221.4,19.254,539.1120000000001,577.62,95.69238,108.59256,442.84200000000004,152.1066,731.652,2021.67,0.366
12,24.24,15.973,587.5776,24.24,678.7199999999999,727.1999999999999,120.47279999999999,136.71359999999999,557.52,191.496,921.1199999999999,2545.2,15.973,447.244,479.19,79.38581,90.08772,367.379,126.18670000000002,606.974,1677.1650000000002,0.281
13,26.36,17.089,694.8496,26.36,738.0799999999999,790.8,131.0092,148.6704,606.28,208.244,1001.68,2767.7999999999997,17.089,478.49199999999996,512.67,84.93233,96.38195999999999,393.04699999999997,135.0031,649.382,1794.3449999999998,0.314
14,25.0,19.36,625.0,25.0,700.0,750.0,124.25,141.0,575.0,197.5,950.0,2100.0,19.36,542.0799999999999,580.8,96.21919999999999,109.1904,445.28,152.944,735.68,1626.24,0.479
