,last_weight,average_weight,size,start_weight last_weight,start_weight average_weight,last_weight^2,last_weight average_weight,last_weight fasting,last_weight morning_temperature,last_weight evening_temperature,last_weight morning_do,last_weight evening_do,last_weight morning_salinity,last_weight morning_pH,last_weight transparency,last_weight long_cycle,average_weight^2,average_weight fasting,average_weight morning_temperature,average_weight evening_temperature,average_weight morning_do,average_weight evening_do,average_weight morning_salinity,average_weight morning_pH,average_weight transparency,average_weight long_cycle,fasting size,morning_temperature size,evening_temperature size,morning_do size,evening_do size,morning_salinity size,morning_pH size,transparency size,long_cycle size,size^2,average_adg
0,25.18,14.428,63.75,131.69140000000002,75.45844000000001,634.0323999999999,363.29704000000004,25.18,705.04,755.4,125.1446,142.0152,579.14,198.922,956.84,2820.16,208.16718400000002,14.428,403.98400000000004,432.84000000000003,71.70716,81.37392,331.844,113.98120000000002,548.264,1615.9360000000001,63.75,1785.0,1912.5,316.8375,359.54999999999995,1466.25,503.625,2422.5,7140.0,4064.0625,0.27
1,26.59,15.167,64.0,131.6205,75.07665,707.0281,403.29053,26.59,744.52,797.7,132.1523,149.9676,611.57,210.061,1010.42,3217.39,230.037889,15.167,424.676,455.01,75.37998999999999,85.54187999999999,348.841,119.8193,576.346,1835.2069999999999,64.0,1792.0,1920.0,318.08,360.96,1472.0,505.6,2432.0,7744.0,4096.0,0.267
2,16.25,10.725,89.0,85.3125,56.30625,264.0625,174.28125,16.25,455.0,487.5,80.7625,91.64999999999999,373.75,128.375,617.5,1527.5,115.02562499999999,10.725,300.3,321.75,53.30325,60.489,246.67499999999998,84.7275,407.55,1008.15,89.0,2492.0,2670.0,442.33,501.96,2047.0,703.1,3382.0,8366.0,7921.0,0.281
3,15.7,11.035,109.2,84.78,59.589000000000006,246.48999999999998,173.24949999999998,15.7,439.59999999999997,471.0,78.029,88.54799999999999,361.09999999999997,124.03,596.6,1475.8,121.771225,11.035,308.98,331.05,54.84395,62.237399999999994,253.805,87.1765,419.33,1037.29,109.2,3057.6,3276.0,542.7239999999999,615.888,2511.6,862.6800000000001,4149.6,10264.800000000001,11924.640000000001,0.273
4,24.76,13.033,70.85714285714286,68.5852,36.10141,613.0576000000001,322.69708,24.76,693.2800000000001,742.8000000000001,123.0572,139.6464,569.48,195.60399999999998,940.8800000000001,2946.44,169.85908899999998,13.033,364.924,390.99,64.77400999999999,73.50612,299.759,102.96069999999997,495.25399999999996,1550.927,70.85714285714286,1984.0,2125.714285714286,352.16,399.63428571428574,1629.7142857142858,559.7714285714285,2692.571428571429,8432.0,5020.734693877552,0.256
5,24.53,12.609,63.8,57.645500000000006,29.63115,601.7209,309.29877,24.53,686.84,735.9000000000001,121.9141,138.3492,564.19,193.78699999999998,932.1400000000001,2919.07,158.986881,12.609,353.052,378.27,62.666729999999994,71.11475999999999,290.007,99.61109999999998,479.142,1500.471,63.8,1786.3999999999999,1914.0,317.08599999999996,359.83199999999994,1467.3999999999999,504.01999999999987,2424.4,7592.2,4070.4399999999996,0.263
6,23.9,12.896,63.75,61.422999999999995,33.14272,571.2099999999999,308.2144,23.9,669.1999999999999,717.0,118.78299999999999,134.796,549.6999999999999,188.81,908.1999999999999,2748.5,166.30681600000003,12.896,361.088,386.88,64.09312,72.73344,296.608,101.87840000000001,490.048,1483.0400000000002,63.75,1785.0,1912.5,316.8375,359.54999999999995,1466.25,503.625,2422.5,7331.25,4064.0625,0.25
7,21.54,11.931,72.83333333333333,54.7116,30.30474,463.97159999999997,256.99373999999995,21.54,603.12,646.1999999999999,107.0538,121.48559999999999,495.41999999999996,170.16600000000003,818.52,2326.3199999999997,142.34876099999997,11.931,334.068,357.92999999999995,59.29706999999999,67.29083999999999,274.41299999999995,94.2549,453.378,1288.548,72.83333333333333,2039.3333333333333,2185.0,361.9816666666666,410.78,1675.1666666666665,575.3833333333334,2767.6666666666665,7865.999999999999,5304.694444444443,0.23
8,21.47,12.47,66.7,50.0251,29.055100000000003,460.9608999999999,267.7309,21.47,601.16,644.0999999999999,106.70589999999999,121.09079999999999,493.80999999999995,169.61299999999997,815.8599999999999,2554.93,155.50090000000003,12.47,349.16,374.1,61.9759,70.3308,286.81,98.51299999999999,473.86,1483.93,66.7,1867.6000000000001,2001.0,331.499,376.188,1534.1000000000001,526.93,2534.6,7937.3,4448.89,0.219
9,6.8,6.8,145.33333333333334,46.239999999999995,46.239999999999995,46.239999999999995,46.239999999999995,6.8,190.4,204.0,33.796,38.352,156.4,53.720000000000006,258.4,353.59999999999997,46.239999999999995,6.8,190.4,204.0,33.796,38.352,156.4,53.720000000000006,258.4,353.59999999999997,145.33333333333334,4069.3333333333335,4360.0,722.3066666666667,819.6800000000001,3342.666666666667,1148.1333333333337,5522.666666666667,7557.333333333334,21121.77777777778,0.26
